Token,Classificação,Linha
program,Palavra reservada,1
SomaDeInteiros,Identificador,1
;,Delimitador,1
var,Palavra reservada,3
numero1,Identificador,4
",",Delimitador,4
numero2,Identificador,4
",",Delimitador,4
soma,Identificador,4
:,Delimitador,4
integer,Palavra reservada,4
;,Delimitador,4
begin,Palavra reservada,6
numero1,Identificador,8
:=,Atribuição,8
10,Número inteiro,8
;,Delimitador,8
numero2,Identificador,9
:=,Atribuição,9
20,Número inteiro,9
;,Delimitador,9
soma,Identificador,12
:=,Atribuição,12
numero1,Identificador,12
+,Operador aditivo,12
numero2,Identificador,12
;,Delimitador,12
end,Palavra reservada,16
.,Delimitador,16
